name,alias,unreleased_playlists_count,followers,popularity,genres,id,spotify_url,images,unreleased_playlists_ids
Taylor Swift,,15,122488748,100,['pop'],06HL4z0CvFAxyc27GXpf02,https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02,"['https://i.scdn.co/image/ab6761610000e5ebe672b5f553298dcdccb0e676', 'https://i.scdn.co/image/ab67616100005174e672b5f553298dcdccb0e676', 'https://i.scdn.co/image/ab6761610000f178e672b5f553298dcdccb0e676']","['34H02NFbBonA9bROadRvnL', '7jAFnWuoH3r4UPicmlA7pC', '0DDTyQzaFKHjDWPJO7igre', '6qkjC9I08TRQO3PYGdG9JK', '1V36SqEXLNpMwudK9ZsW4e', '3Qo7OF9ZQNaGNyGtW3hNSm', '3dVpJfNZTjsStGKA3UMPXb', '4NLPFT2wj9r25AWeJGU1w9', '1mQjF6Ckuu3F7wzNsMeL5F', '131qa9x1mPYX0SF5AQjjVa', '7orPPsuTWLqKv2cX27mV8X', '7BvMT17JK5ecAlAPImt4js', '760XvSecGcHOTtFyfgfJ1A', '5K8m1dkKW4d3S6j8okvuOh', '4mn5AXwZ6Dn7bcN0Dv0Rif']"
Ed Sheeran,,1,116199004,88,"['pop', 'singer-songwriter pop', 'uk pop']",6eUKZXaKkcviH0Ku9w2n3V,https://open.spotify.com/artist/6eUKZXaKkcviH0Ku9w2n3V,"['https://i.scdn.co/image/ab6761610000e5eb784daff754ecfe0464ddbeb9', 'https://i.scdn.co/image/ab67616100005174784daff754ecfe0464ddbeb9', 'https://i.scdn.co/image/ab6761610000f178784daff754ecfe0464ddbeb9']",['07Tj0GjsS8wQnbHWayvG3r']
Ariana Grande,,17,100058938,92,['pop'],66CXWjxzNUsdJxJ2JdwvnR,https://open.spotify.com/artist/66CXWjxzNUsdJxJ2JdwvnR,"['https://i.scdn.co/image/ab6761610000e5eb40b5c07ab77b6b1a9075fdc0', 'https://i.scdn.co/image/ab6761610000517440b5c07ab77b6b1a9075fdc0', 'https://i.scdn.co/image/ab6761610000f17840b5c07ab77b6b1a9075fdc0']","['0S1wEYmRHbGSALT8Vm4A3k', '6XoN39T5Hy1X7XIoL1AgQO', '4N3ZiuQyGEWZ90GrnPhgKO', '6Gj93slhbcvj5wJRm3ysya', '68ALl4XNgjTni5VmdWoVra', '4eJ5YRYpSIRW9DYnl8aynZ', '2G05udDj9FZZY5N8PuazyC', '0YUTqKwW05cyjd9I8XWAZN', '2sIRGk6G0a06z1vwsz2oal', '3zbOIuvfgxs9dfFjlCN0d4', '6WtBUWyrrkip8GzPP8gyhX', '2xPjx5cMcRSTjUsanrHEBj', '10A4hknwKp8ecFoPRcIHzH', '7kuJc7TYWt5KziKq96k0YR', '1ckR0OKpOgqViFEtniZU8X', '0ULPscQbBgJwek8MW82uEM', '0wLDDg8K75jS7oGWAWzSr5']"
Billie Eilish,,28,100024882,95,"['art pop', 'pop']",6qqNVTkY8uBg9cP3Jd7DAH,https://open.spotify.com/artist/6qqNVTkY8uBg9cP3Jd7DAH,"['https://i.scdn.co/image/ab6761610000e5eb4a21b4760d2ecb7b0dcdc8da', 'https://i.scdn.co/image/ab676161000051744a21b4760d2ecb7b0dcdc8da', 'https://i.scdn.co/image/ab6761610000f1784a21b4760d2ecb7b0dcdc8da']","['5WWyHKydROnA963N8UJ7MF', '6j21CHjxBAR0T6Kgf8eNQW', '3yuLHwkTLLWTa3H6KqO82z', '2B6MhbRkdYC69bG7xHIPVe', '1hn8mDGPjPRMu95Ru8v5D3', '6N8CjQN7ZaxmFrQFIacSoV', '5chTafcZq88SsZEDd1T2tI', '5AUYppRqRfgnzDjVP7k6kz', '7Lwz5jMGeEB6TjCW6XaVt7', '5V2XZZEbhFBjDFlQPT72KU', '24m9aWeXWDwyvSBgCxPyUf', '7yoSRZdCd5YjsokJ7BvGrp', '6NugC5hUpwwM369pMb6YNk', '4H33Tf3ZgAq5TRiWVKO91V', '7tTWMdcGxqKWt4b8Qaamkz', '09X0Baz4p2FnxV746sGwHj', '0g0r1iIzASTXq4wOT2k1mC', '432Z5vXo6YFERa8dH9DACr', '5oquCpuurBBF78x4GFI16i', '2Goo5OogVbj7w3Vx8Rtmn5', '6mtzou256T1va0b4uHhFIJ', '6mmhjSsrdIllE3QIGZY2kx', '2bmciz2adGaJhlgaB4OjzK', '23oxp4EaOsIU9SlUiHvZrO', '002IjoLVa1s5bpv3S7wq2g', '2nuM2pVNtpsB0UOdb3LqTZ', '0mApFAmB1xDWEhtkfhYQZV', '0J1rcv00ixL9OyHeUZbnjH']"
Drake,,13,92197503,96,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",3TVXtAsR1Inumwj472S9r4,https://open.spotify.com/artist/3TVXtAsR1Inumwj472S9r4,"['https://i.scdn.co/image/ab6761610000e5eb4293385d324db8558179afd9', 'https://i.scdn.co/image/ab676161000051744293385d324db8558179afd9', 'https://i.scdn.co/image/ab6761610000f1784293385d324db8558179afd9']","['1WqHGVvRxO0oLRS2NJj6ts', '6qrEiwOKRnQyLyRBhLm7Re', '5JDaNVxxbWWDaj428WwD81', '5DFNY89IMOvYcfgSZpLJzH', '4B0bwW18nu2Da7ZP7CiGN2', '61ByjtiLBKRnwK03mbMjrh', '63jhJNq90Vv6LZn0cSoF1y', '7rvfNu4vPn1TNSPghzAmj1', '4wku3vfaZEV4Un9zeDj6uC', '4AJfyGJvhqDKRbOfGuGZ6d', '10JPn99ojOrxFCfRwkBofI', '7o0xg3cy9YFnPxk5mx5qch', '15sfxjDO9Lx6NnSPHCzpdq']"
The Weeknd,,51,91772766,96,"['canadian contemporary r&b', 'canadian pop', 'pop']",1Xyo4u8uXC1ZmMpatF05PJ,https://open.spotify.com/artist/1Xyo4u8uXC1ZmMpatF05PJ,"['https://i.scdn.co/image/ab6761610000e5eb9e528993a2820267b97f6aae', 'https://i.scdn.co/image/ab676161000051749e528993a2820267b97f6aae', 'https://i.scdn.co/image/ab6761610000f1789e528993a2820267b97f6aae']","['6Yw6beH6kQ1FOxemqoIhQs', '40jeKsfJM7UkiN2RTlFoEG', '5BiXMCNifPsWIVD4HqLPWO', '1J35N2SAT7P3PEYDa5wXzs', '0cAhEJsql8GuaV7l82fLfR', '0O1sdlXSdQo2p2U8UXhOnz', '1floUzeLfXcHnqyyysQpGW', '7IgP7ZW1UOe4irthHugGIB', '6Wy8K1e0h2SZPQvRk3XIs5', '6ISPMdArrwrc6lkJx2Uzzz', '0yJ8F96QEAR65VDE2L5wR9', '2pZ2QqdwTYlVvPHz0HbTiN', '4Lna1sKj0dWfYay1LkRo5e', '78oYHUITojVOaGgGGExQLf', '7KiNpUgbzLwW2SzbF4DhbV', '39qO8gerEDif6mIj6IjfSk', '1tEGhD9Q98EInp1DDo0j5n', '0qkBNqnN7L8xWHMwkDLyxr', '4XiJhbWmOIWfvLMaNVmkDd', '0qU4jSnVtES7IptywOnyGW', '1PvbqeeXa46tiv2up5e4XA', '3Ibab3bd0ZLuk72To948jw', '1QgxOIHShV9LuxRgmpU80e', '1BjeIxmXqI92YkottRqsEo', '7n6IUzvhvs8UBH99PRlhyl', '5zRsp1HgKOgFXmACdc4m0I', '40vmNmHFiVIMme8SPojJY2', '4Ina0V9PcZZLTLpZl0SZGE', '0kwPN8WpqK1b3gP7PN8ZQD', '1RFmYLBb1HlnTvsX6VFMdC', '5omg1JVGXm3WyMELEn3m7i', '5Z5bfMXGc3quY7dBJbxFSL', '15GXpPmJjoB8e0qgtio5Qs', '78NLcJvZxOOcxzjRA3ej9e', '7pS7BdM4fo44nAH2HkQFpF', '1RbG2dauY27QHkLOBaZfCr', '79ZK1t8iBKpUy0k4CGujSG', '2KO4LEtdustBPr9tlB2Cm3', '2SvbabZdrA4LyefhFGJVAy', '2INSGIEar3Oew0gN2AdtdA', '2w8B7nO9m7LTvZpeuH7HGM', '7epsxjCNLRCVKEaqpVKvru', '4eNRaDkUfyipSDuTIJYu1Q', '7zsNaY7YLEKRSwMAgZLDfE', '4pVOkLqoCz3ejBTEesBrI4', '1VxVVrqDPla10N6wwyq86G', '4l3TsudyKfeajqsUX1kV0X', '7D0B3DRThdSj1HOtfK6ac5', '7JCcLMsMoXUOKEpSrQMguW', '6MzFlVUgGd5oNexyuq3aZp', '2fKa8ry8gfWKYtbPH37A8K']"
Eminem,,16,90695854,93,"['detroit hip hop', 'hip hop', 'rap']",7dGJo4pcD2V6oG8kP0tJRR,https://open.spotify.com/artist/7dGJo4pcD2V6oG8kP0tJRR,"['https://i.scdn.co/image/ab6761610000e5eba00b11c129b27a88fc72f36b', 'https://i.scdn.co/image/ab67616100005174a00b11c129b27a88fc72f36b', 'https://i.scdn.co/image/ab6761610000f178a00b11c129b27a88fc72f36b']","['5zGgSzMNiImygUQZCJYOGF', '4D6lxrxi8JnA3EhiwGMXPw', '2oo4xE2xkRH7z7ox7slB2n', '7yTy7EeGZBD4MmQDS1yX2T', '2AGoou1QbOfVc5mo4Ohk5s', '76dMpfCC1tnNFcSn9J51Eb', '0xcormOJC8ClRjXtzUBEO3', '7gSkTQoNw5InuEiAKHVGnC', '153bJzWXmjZ6VJPBZhWpx4', '28Oj4NOe9QYXut5zcd1Pp4', '6Eah3mfPrmOolxbC5ZxLpk', '0RZVHsCLvImAuKfRdL6iVU', '4IIvNjPkpC6SpVYqRRRDvb', '1LJWRoJ0zReOUaD8D3PIHG', '79zNyJaCc0Vvu54txbJtGg', '0aS466PuR7ioaenf8VRQJs']"
Justin Bieber,,5,77561126,90,"['canadian pop', 'pop']",1uNFoZAHBGtllmzznpCI3s,https://open.spotify.com/artist/1uNFoZAHBGtllmzznpCI3s,"['https://i.scdn.co/image/ab6761610000e5eb8ae7f2aaa9817a704a87ea36', 'https://i.scdn.co/image/ab676161000051748ae7f2aaa9817a704a87ea36', 'https://i.scdn.co/image/ab6761610000f1788ae7f2aaa9817a704a87ea36']","['4H33Tf3ZgAq5TRiWVKO91V', '3VQDkzdIMogZ8COOCjjTRf', '2kICSDoS7Quffd2YWhWc4A', '3ZM3PuJbo9cSw1vfN71Cxe', '77bXQz1JKj0VbjiAXCdg5J']"
BTS,,6,75991570,87,"['k-pop', 'k-pop boy group', 'pop']",3Nrfpe0tUJi4K4DXYWgMUX,https://open.spotify.com/artist/3Nrfpe0tUJi4K4DXYWgMUX,"['https://i.scdn.co/image/ab6761610000e5ebd642648235ebf3460d2d1f6a', 'https://i.scdn.co/image/ab67616100005174d642648235ebf3460d2d1f6a', 'https://i.scdn.co/image/ab6761610000f178d642648235ebf3460d2d1f6a']","['6cERiMLQshxggY08xXwCFY', '27yYOfyN7Yxq0HTk5kqE21', '4nFy5NIK2ene8zOL8eazL5', '39EXmP6K5SlkHP4HOBsAwE', '23woe6I3sgZC6A7xlDAfht', '7tuSfds5N7Hd3FUyONsVuG']"
Rihanna,,1,62860302,91,"['barbadian pop', 'pop', 'urban contemporary']",5pKCCKE2ajJHZ9KAiaK11H,https://open.spotify.com/artist/5pKCCKE2ajJHZ9KAiaK11H,"['https://i.scdn.co/image/ab6761610000e5eb99e4fca7c0b7cb166d915789', 'https://i.scdn.co/image/ab6761610000517499e4fca7c0b7cb166d915789', 'https://i.scdn.co/image/ab6761610000f17899e4fca7c0b7cb166d915789']",['6x4pn6YkNEeUWYajMUHc3V']
